child neutral affect,cleanup not requested,mother positive affect,no child independent clean up,v direct concrete inst_mother positive tone,p touching toys for cleanup,v small mission steps_mother positive tone,no compliance - Passive_passive non compliance,p signal const,yes compliance,v positive feedback_mother positive tone,p positive feedback,v signal const_mother positive tone,v perspective/mirroring_mother positive tone,p mother cleanup,v concern_mother positive tone,p concern exp,subjects,child positive affect,v choice_mother positive tone,p gentle touch for clean up,v rational_mother positive tone,p affection expression,v motivation arousal_mother positive tone,p gentle touch for clean up_control,v unclear,v inadequate perspective/invalidation_mother positive tone,v action oriented feedback_mother positive tone,v affection_mother positive tone,v hostility_mother positive tone,no compliance - Defiance_defiance,p modeling,v modeling_mother positive tone,v direct concrete inst_mother positive tone_control,v small mission steps_mother negative tone_control,p signal const_control,v positive feedback_mother negative tone,v modeling_mother negative tone,p touching toys for cleanup_control,v affection_mother negative tone,v affection_mother negative tone_control,v direct concrete inst_mother negative tone_control,v small mission steps_mother positive tone_control,v affection_mother positive tone_control,v signal const_mother negative tone_control,p forceful touch for cleanup,child negative affect,no compliance - Refusal_refusal,p concern exp_control,v signal const_mother negative tone,v inadequate perspective/invalidation_mother negative tone,v direct concrete inst_mother negative tone,child alert,no inadequate boundaries setting,indecisive expectations setting_mother positive tone,legitimazinig expectation violation_mother positive tone,v glorificaion feedback_mother positive tone,v negative cr_mother positive tone,v hostility_mother negative tone,v signal const_mother positive tone_control,yes child independent clean up,v threat punishment_mother positive tone,v small mission steps_mother negative tone,p motivational arrousal,child tired,v material reward_mother positive tone,v negative feedback_mother positive tone,unclear compiance,v concern_mother negative tone,v negative cr_mother negative tone,v perspective/mirroring_mother negative tone
6.0,18.0,6.0,6.0,24.0,20.0,24.0,4.0,28.0,12.0,20.0,,4.0,4.0,4.0,14.0,2.0,subjects_028,,2.0,4.0,,2.0,,,2.0,,,16.0,4.0,16.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,6.0,32.0,20.0,8.0,,,,,,,,,,,,,,,
6.0,12.0,6.0,6.0,12.0,16.0,54.0,10.0,14.0,10.0,36.0,,2.0,6.0,4.0,,,subjects_029,,,,2.0,,,,,,,4.0,,2.0,4.0,4.0,,,,,,,,,,,,,,,2.0,,,,,6.0,6.0,,,2.0,,,,,,,,,,,,,,
6.0,20.0,6.0,6.0,22.0,30.0,38.0,12.0,24.0,12.0,12.0,,2.0,8.0,6.0,4.0,2.0,subjects_030,,,6.0,2.0,,,,,,,2.0,,8.0,4.0,4.0,,,,,,,,,,,,,,,2.0,,,,,6.0,8.0,2.0,,,,,,,,,,,,,,,,
6.0,14.0,6.0,6.0,2.0,4.0,26.0,8.0,28.0,8.0,12.0,,,,12.0,2.0,,subjects_031,,,,,2.0,,4.0,,2.0,,4.0,,2.0,6.0,,,,,,,,,,,,,,,,2.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
14.0,14.0,6.0,6.0,20.0,30.0,38.0,8.0,24.0,14.0,18.0,,6.0,8.0,20.0,,,subjects_032,2.0,,6.0,4.0,2.0,2.0,6.0,,10.0,,18.0,4.0,16.0,,,,,,,,,,,,6.0,,,,6.0,14.0,,,,2.0,6.0,8.0,,2.0,,2.0,2.0,,,,,,,,,,,,
6.0,10.0,6.0,6.0,10.0,8.0,28.0,,8.0,6.0,12.0,2.0,2.0,2.0,2.0,4.0,,subjects_034,,,,2.0,,,2.0,,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
8.0,12.0,6.0,6.0,4.0,10.0,6.0,6.0,4.0,6.0,2.0,,2.0,,12.0,4.0,4.0,subjects_036,,,4.0,,2.0,,,,,,2.0,,10.0,,,8.0,,,,,,,,,6.0,,,2.0,2.0,2.0,,,,,6.0,12.0,4.0,2.0,2.0,,,2.0,,,,,,,,,,,
8.0,16.0,6.0,6.0,12.0,14.0,46.0,10.0,20.0,6.0,28.0,8.0,,18.0,6.0,,,subjects_037,,,2.0,2.0,12.0,,,,,,8.0,,,8.0,6.0,,,,,,,,,,,,,,4.0,2.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
6.0,12.0,6.0,8.0,10.0,20.0,22.0,6.0,16.0,8.0,10.0,,4.0,8.0,14.0,,,subjects_038,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,6.0,6.0,,,2.0,,,,2.0,,,,,,,,,,
6.0,8.0,6.0,6.0,10.0,20.0,34.0,4.0,22.0,8.0,6.0,4.0,,10.0,,4.0,,subjects_039,,,,8.0,,8.0,,,,,2.0,2.0,2.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,6.0,8.0,,2.0,,,,,,,,,,,,,,,
6.0,8.0,6.0,6.0,2.0,16.0,22.0,2.0,18.0,2.0,14.0,2.0,2.0,,,,,subjects_041,,,2.0,,,6.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,2.0,,,,,,,,,,,,,
6.0,10.0,6.0,8.0,6.0,10.0,28.0,2.0,12.0,6.0,22.0,,,20.0,,4.0,,subjects_043,,,8.0,4.0,,8.0,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,6.0,6.0,,,,,,,2.0,,,,,,,,,,
10.0,20.0,6.0,6.0,8.0,26.0,38.0,12.0,16.0,16.0,10.0,,2.0,2.0,10.0,4.0,,subjects_044,,,4.0,2.0,2.0,,10.0,,4.0,,6.0,,12.0,10.0,8.0,,,4.0,,,,,,,2.0,,,,4.0,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
10.0,20.0,6.0,6.0,10.0,12.0,22.0,14.0,36.0,6.0,12.0,,6.0,4.0,8.0,,,subjects_048,4.0,,6.0,8.0,,2.0,,,2.0,,4.0,,6.0,6.0,6.0,4.0,4.0,2.0,,,,,,2.0,6.0,,2.0,2.0,,22.0,,2.0,,2.0,6.0,18.0,4.0,8.0,2.0,2.0,2.0,6.0,,2.0,2.0,,,,,,,,
6.0,12.0,6.0,6.0,12.0,26.0,66.0,10.0,24.0,18.0,46.0,,,6.0,6.0,2.0,,subjects_050,,,4.0,,,8.0,,,,,12.0,,8.0,,,4.0,,,,,,,,,,,,,,,,,,,6.0,8.0,,2.0,,,,,,,,,,,,,,,
8.0,14.0,6.0,6.0,14.0,16.0,18.0,8.0,20.0,6.0,6.0,2.0,4.0,2.0,16.0,,,subjects_057,2.0,,2.0,2.0,,,,,,,8.0,,10.0,,,2.0,,,,,,,,,,,,,,2.0,,,,,6.0,10.0,,4.0,,2.0,,,,,,,,,,,,,
8.0,12.0,6.0,6.0,8.0,6.0,10.0,8.0,4.0,,,,,8.0,8.0,,,subjects_059,2.0,,,4.0,4.0,,,,,,10.0,2.0,6.0,2.0,2.0,,,,,,,,,,,,,,,4.0,,,,,6.0,18.0,6.0,6.0,,6.0,,,,,,,,,,,,,
16.0,24.0,6.0,6.0,10.0,6.0,8.0,4.0,14.0,2.0,,,4.0,4.0,12.0,,,subjects_063,,,4.0,2.0,2.0,2.0,,,,,20.0,,10.0,,4.0,,,,,,,,,,2.0,,,,10.0,8.0,,,,,6.0,20.0,10.0,4.0,2.0,2.0,,,,,,2.0,,,,,,,
12.0,18.0,6.0,6.0,6.0,24.0,24.0,6.0,18.0,10.0,12.0,,,4.0,10.0,4.0,,subjects_066,,,8.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,,,,,4.0,8.0,,2.0,,,,,,,,,2.0,,,,,,
6.0,12.0,6.0,6.0,6.0,24.0,20.0,6.0,18.0,6.0,10.0,2.0,2.0,2.0,10.0,,,subjects_067,,,2.0,,2.0,,,,,,2.0,,2.0,4.0,4.0,,,,,,,,,,,,,2.0,,,,,,,6.0,8.0,,2.0,,,,,,,,,,,,,,,
6.0,16.0,6.0,8.0,16.0,34.0,52.0,10.0,44.0,16.0,36.0,4.0,10.0,22.0,,,,subjects_069,,2.0,,,2.0,4.0,,,,,16.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,4.0,,,,,6.0,6.0,,,,,,,2.0,,,,,,,,,,
6.0,14.0,6.0,6.0,6.0,24.0,44.0,12.0,36.0,16.0,26.0,2.0,,12.0,12.0,4.0,,subjects_070,,,,2.0,2.0,4.0,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
6.0,10.0,6.0,6.0,18.0,10.0,42.0,6.0,36.0,6.0,26.0,2.0,18.0,8.0,4.0,,,subjects_082,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,4.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,4.0,,,,,,,,,2.0,,,,,
6.0,10.0,6.0,6.0,18.0,22.0,34.0,14.0,40.0,6.0,12.0,,22.0,4.0,2.0,,,subjects_083,,,4.0,,,,,,,,12.0,,2.0,,,4.0,,,,,,,,,4.0,,,,,8.0,,,,,6.0,10.0,2.0,2.0,,,,4.0,,,,,,6.0,,,,,
8.0,18.0,6.0,6.0,28.0,26.0,28.0,14.0,18.0,8.0,2.0,,,16.0,8.0,,,subjects_085,,,4.0,14.0,2.0,,,,,,4.0,,8.0,4.0,4.0,,,,,,,,,,,,,,2.0,4.0,,,,,6.0,12.0,4.0,2.0,,,,,,,,,,,,,,,
6.0,8.0,6.0,6.0,8.0,24.0,36.0,2.0,36.0,4.0,30.0,,2.0,,8.0,,,subjects_100,,,6.0,,,,,,,2.0,12.0,,,,,2.0,,,,,,,,,2.0,,,,,4.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
8.0,12.0,6.0,6.0,,6.0,,4.0,,,,,2.0,,6.0,,,subjects_105,,,,,,,,,,,6.0,,2.0,,,2.0,,,,,,,,,4.0,,,,4.0,,,,,,6.0,6.0,,,,,,4.0,,,,,,,,,,,
6.0,6.0,6.0,6.0,16.0,20.0,20.0,,22.0,,8.0,,20.0,2.0,,2.0,,subjects_109,,,12.0,4.0,6.0,,,,,,20.0,2.0,,,4.0,,,,,,,,,,2.0,,,,,,,,,,6.0,6.0,,,,,,10.0,,,,,,,,,,,
10.0,18.0,6.0,6.0,8.0,10.0,14.0,2.0,10.0,6.0,10.0,,8.0,2.0,6.0,4.0,,subjects_113,,,,2.0,,,,,4.0,,8.0,10.0,12.0,,,,,,,,,,,,,,,,4.0,,,,,,6.0,12.0,,6.0,,,,,,,,,,,,,,,
8.0,10.0,6.0,10.0,4.0,16.0,22.0,,24.0,4.0,10.0,,,6.0,,2.0,,subjects_118,,,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,6.0,6.0,,,2.0,,,,4.0,,,,,,,,,,
14.0,20.0,6.0,6.0,8.0,14.0,10.0,6.0,2.0,2.0,,,,2.0,18.0,,,subjects_119,,,2.0,4.0,6.0,2.0,,,4.0,,4.0,2.0,10.0,,,,,,,,,,,,,,,,10.0,4.0,,,,,6.0,14.0,4.0,4.0,,2.0,,,,,,,,2.0,,,,,
6.0,14.0,6.0,6.0,12.0,14.0,18.0,4.0,8.0,4.0,2.0,,6.0,,10.0,2.0,,subjects_121,,,4.0,,,,6.0,,,,12.0,4.0,10.0,2.0,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,6.0,8.0,2.0,,,,,,,,,,,,2.0,,,,
6.0,24.0,6.0,22.0,10.0,18.0,22.0,2.0,32.0,20.0,14.0,,,2.0,,,,subjects_126,,4.0,2.0,,2.0,,,,2.0,,12.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,6.0,6.0,,,,,,,16.0,,,,,,,,,,
6.0,10.0,6.0,6.0,14.0,18.0,24.0,4.0,22.0,8.0,18.0,,2.0,,,4.0,,subjects_132,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
8.0,12.0,6.0,6.0,,10.0,18.0,6.0,2.0,2.0,,,2.0,8.0,12.0,,,subjects_133,,,,2.0,2.0,,2.0,,,,,,,2.0,,6.0,,,,,,,,,6.0,,,,4.0,8.0,,4.0,,,6.0,6.0,,,,2.0,,4.0,,,,,,,,,,,
6.0,12.0,6.0,10.0,,12.0,24.0,,12.0,8.0,14.0,,,4.0,2.0,,,subjects_148,,4.0,2.0,2.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,6.0,6.0,,,,,,,4.0,,,,,,,,,,
8.0,12.0,6.0,6.0,6.0,10.0,56.0,14.0,36.0,10.0,22.0,,4.0,12.0,16.0,2.0,,subjects_149,2.0,,2.0,,,8.0,,,,,6.0,,4.0,,,,,,,,,,,,,,,,,4.0,,,,,6.0,6.0,,,2.0,,,,,,,2.0,,,,,,,
8.0,18.0,6.0,6.0,12.0,26.0,52.0,12.0,28.0,18.0,22.0,4.0,16.0,6.0,2.0,,,subjects_152,2.0,,8.0,4.0,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,6.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
16.0,14.0,6.0,6.0,8.0,10.0,20.0,8.0,2.0,16.0,8.0,,6.0,2.0,10.0,,,subjects_161,6.0,,2.0,,,12.0,,,6.0,,2.0,10.0,2.0,2.0,,4.0,,,,,,,,,2.0,,,10.0,4.0,8.0,,,,,6.0,6.0,,,,,,2.0,,,,,,2.0,,4.0,,,
10.0,12.0,6.0,6.0,14.0,12.0,4.0,6.0,6.0,8.0,8.0,,8.0,,30.0,,,subjects_166,,,,2.0,2.0,,4.0,,,,,,6.0,8.0,4.0,8.0,,,,,6.0,,,,10.0,,,,6.0,,,,,,6.0,22.0,16.0,,,,,4.0,,,,,,,,,,,
6.0,12.0,6.0,6.0,8.0,30.0,46.0,16.0,40.0,12.0,26.0,,6.0,8.0,2.0,,,subjects_169,,2.0,6.0,2.0,,,2.0,,,,8.0,,,10.0,12.0,2.0,2.0,2.0,,,,,,,6.0,,,,,2.0,,,,,6.0,6.0,,,,,,2.0,,,,,,,,,,,
6.0,14.0,6.0,10.0,10.0,24.0,42.0,,20.0,10.0,20.0,,4.0,2.0,8.0,,,subjects_170,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,4.0,,,,,,,,,,
10.0,12.0,6.0,6.0,12.0,28.0,28.0,16.0,34.0,18.0,16.0,,6.0,2.0,8.0,4.0,,subjects_177,2.0,,,,,,,,2.0,,2.0,8.0,6.0,,,2.0,22.0,4.0,,,,,,8.0,6.0,,4.0,2.0,2.0,,,,,2.0,6.0,8.0,2.0,,,,2.0,2.0,,,4.0,,,,,,8.0,6.0,2.0
8.0,18.0,6.0,6.0,22.0,26.0,40.0,26.0,38.0,24.0,22.0,,2.0,22.0,6.0,,,subjects_178,,6.0,4.0,2.0,4.0,6.0,,,,,16.0,,,4.0,4.0,,,,,,,,,,,,,,2.0,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
6.0,12.0,6.0,10.0,2.0,14.0,16.0,6.0,10.0,6.0,8.0,2.0,2.0,2.0,4.0,,,subjects_180,,,,10.0,,,,,,,4.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,4.0,,,,,,,,,,
16.0,12.0,6.0,6.0,4.0,2.0,4.0,4.0,,2.0,,,,2.0,12.0,4.0,2.0,subjects_181,,,,4.0,,,4.0,,6.0,,4.0,,2.0,2.0,2.0,,,,,,,,,,,,,,10.0,6.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
6.0,6.0,6.0,6.0,2.0,16.0,38.0,8.0,10.0,8.0,14.0,,,10.0,,,,subjects_186,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
6.0,10.0,6.0,6.0,10.0,12.0,22.0,8.0,14.0,8.0,12.0,,,2.0,8.0,2.0,,subjects_191,,,4.0,2.0,,4.0,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,2.0,,,,,6.0,6.0,,,,,,,,,,2.0,,,,,,,
6.0,18.0,6.0,6.0,2.0,24.0,38.0,8.0,6.0,8.0,12.0,,2.0,16.0,8.0,,,subjects_199,,2.0,,4.0,4.0,,,,,,6.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
10.0,32.0,6.0,10.0,4.0,24.0,14.0,12.0,24.0,18.0,10.0,,,6.0,2.0,2.0,2.0,subjects_203,,,,,,,,,2.0,,6.0,2.0,10.0,6.0,6.0,,6.0,2.0,,,10.0,,,2.0,22.0,,4.0,22.0,4.0,8.0,,,,,6.0,8.0,,2.0,,8.0,,,4.0,,2.0,,,,4.0,,,,
6.0,16.0,6.0,8.0,4.0,28.0,40.0,10.0,26.0,10.0,22.0,,2.0,4.0,6.0,,,subjects_204,,,,,,,2.0,,,,6.0,2.0,2.0,8.0,8.0,2.0,,,,,,,,,2.0,,,,,2.0,,,,,6.0,6.0,,,,,,,2.0,,,,,,,,,,
6.0,16.0,6.0,6.0,6.0,4.0,6.0,8.0,30.0,,,,,4.0,2.0,2.0,,subjects_209,,,2.0,4.0,,2.0,,,4.0,,8.0,,4.0,2.0,4.0,,,,,,,,,,,,,,,2.0,,,,,6.0,20.0,16.0,2.0,,,,,,,,,,,,,,,
14.0,12.0,6.0,6.0,16.0,30.0,34.0,12.0,14.0,8.0,2.0,,12.0,2.0,22.0,2.0,,subjects_210,,,8.0,,10.0,,10.0,,4.0,,22.0,2.0,4.0,2.0,4.0,,,2.0,,,2.0,,,,2.0,,,,8.0,,,,,,6.0,6.0,,,,2.0,,2.0,,,,,,,,,,,
12.0,10.0,6.0,6.0,,20.0,42.0,6.0,26.0,6.0,26.0,,2.0,6.0,,2.0,,subjects_211,,,,,,,,,2.0,,4.0,,4.0,,,,,,,,,,,,,,,,6.0,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
6.0,16.0,6.0,6.0,16.0,4.0,22.0,6.0,24.0,12.0,8.0,2.0,10.0,8.0,24.0,4.0,,subjects_214,,,6.0,6.0,2.0,,,,,,12.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,6.0,10.0,,4.0,,,,,,,,,,,,,,,
6.0,12.0,6.0,6.0,2.0,22.0,10.0,4.0,10.0,6.0,,,,,20.0,2.0,2.0,subjects_215,,,,,,,2.0,,,,,,4.0,2.0,2.0,,,,,,,,,,4.0,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
6.0,12.0,6.0,6.0,4.0,2.0,2.0,2.0,,4.0,,,6.0,2.0,4.0,2.0,,subjects_217,,,2.0,,,,4.0,,,,6.0,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,6.0,8.0,,2.0,,,,,,,,,,,,,,,
24.0,14.0,6.0,6.0,6.0,30.0,30.0,6.0,22.0,8.0,16.0,,4.0,12.0,12.0,2.0,4.0,subjects_219,,,8.0,2.0,2.0,,,,2.0,,,,10.0,2.0,2.0,4.0,,,,,,,,,6.0,,,,20.0,14.0,,,,,6.0,12.0,,6.0,,2.0,,2.0,,,,,,,,,,,
8.0,14.0,6.0,6.0,4.0,10.0,18.0,6.0,8.0,2.0,4.0,,4.0,4.0,10.0,2.0,,subjects_225,,,,2.0,,,2.0,,,,2.0,,2.0,,,2.0,,,,,,,,,2.0,,,,2.0,,,,,2.0,6.0,8.0,,2.0,,2.0,,,,,,,,,,,,,
6.0,10.0,6.0,6.0,4.0,10.0,18.0,2.0,6.0,4.0,8.0,,2.0,6.0,16.0,6.0,4.0,subjects_226,,,,4.0,6.0,,,,,,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,2.0,,,,,,,,,,,,,,
8.0,8.0,6.0,6.0,8.0,16.0,50.0,16.0,54.0,16.0,36.0,6.0,10.0,10.0,,,,subjects_227,,,6.0,2.0,,2.0,,,,,24.0,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,6.0,6.0,,,6.0,,,,,,,,,,,,,,
8.0,12.0,6.0,6.0,4.0,10.0,28.0,4.0,20.0,12.0,10.0,,2.0,2.0,8.0,,,subjects_236,,2.0,,2.0,,,4.0,,,,,,8.0,2.0,,,,2.0,,,,,,,,,,,2.0,,,4.0,,,6.0,6.0,,,,,,,,,2.0,,,,2.0,,,,
12.0,18.0,6.0,6.0,16.0,18.0,32.0,4.0,4.0,10.0,16.0,,10.0,8.0,12.0,,,subjects_238,,,4.0,,4.0,4.0,,,2.0,,14.0,,,2.0,2.0,,,,,,,,,,,,,,8.0,8.0,,,,,6.0,8.0,,2.0,,,,,,,,,,,,,,,
6.0,8.0,6.0,6.0,4.0,16.0,40.0,8.0,12.0,12.0,16.0,,12.0,,2.0,,,subjects_239,,,,,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,2.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
6.0,8.0,6.0,6.0,10.0,34.0,36.0,6.0,44.0,12.0,16.0,,6.0,,16.0,2.0,,subjects_240,,,2.0,2.0,2.0,2.0,8.0,,2.0,,10.0,,8.0,8.0,4.0,,,,,,,,,,2.0,,,,,8.0,,,,,6.0,6.0,,,,,,,,,,2.0,,,,,,,
6.0,6.0,6.0,6.0,6.0,14.0,36.0,,32.0,,16.0,2.0,10.0,2.0,10.0,,,subjects_244,,,,2.0,,,,,2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
8.0,16.0,6.0,12.0,,24.0,34.0,6.0,18.0,10.0,10.0,2.0,2.0,2.0,12.0,2.0,,subjects_250,,,,,2.0,6.0,,,,,,,,4.0,,,,,,,,,,,,,,,2.0,4.0,,,,,6.0,6.0,,,,,,,6.0,,,6.0,,,,,,,
6.0,24.0,6.0,6.0,8.0,6.0,12.0,6.0,6.0,4.0,4.0,,,12.0,14.0,,,subjects_251,,,,4.0,,,,,,,,,4.0,4.0,6.0,,,,,,,,,,,,,,,4.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
6.0,12.0,6.0,8.0,,8.0,22.0,2.0,18.0,6.0,8.0,,,2.0,12.0,,,subjects_254,,,,,2.0,,,,,2.0,2.0,,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,2.0,,,,,,,,,,
6.0,24.0,6.0,8.0,6.0,22.0,34.0,6.0,20.0,8.0,12.0,2.0,,8.0,10.0,,,subjects_256,,,,,2.0,2.0,4.0,,,,8.0,,4.0,2.0,2.0,,,,,,,,,,,,,,,2.0,,,,,6.0,8.0,,2.0,,,,,2.0,,,,,,,,,,
12.0,18.0,6.0,6.0,14.0,16.0,26.0,12.0,8.0,6.0,4.0,,10.0,6.0,10.0,4.0,4.0,subjects_258,2.0,,,,,,,,,,4.0,,4.0,4.0,4.0,,,4.0,,,,,,,,,,,4.0,,,,,,6.0,8.0,2.0,,,,,,,,,,,,,,,,
6.0,8.0,6.0,6.0,10.0,14.0,26.0,8.0,16.0,10.0,12.0,,2.0,4.0,18.0,,,subjects_262,,,,4.0,,,,,,,8.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
